Product ID,Product Name,Date,Online Store Location,Sales Quantity,Selling Price,Promotions,Demand Trend,Customer Segments,Warehouse Location,Stock Levels,Stockout Frequency,Reorder Point,Order Fulfillment Time (days),Retail Store Location,Market Price,Competitor Prices,Discounts,Sales Volume,Return Rate (%),Elasticity Index,Category_Electronics,Category_Fashion,Category_Furniture,Category_Groceries,Category_Home Appliances
4277,Refrigerator,2024-01-03,Mumbai,330,24.38,0,1,2,Chennai,10,10,10,8,Bangalore,31.25,54.64,22.15,207,18.61,1.28,False,False,False,False,True
5406,Mixer,2024-01-11,Kolkata,429,10.22,1,0,1,Kolkata,296,10,128,6,Mumbai,10.22,14.24,10.22,268,17.19,2.23,False,False,False,False,True
5617,T-Shirt,2024-04-04,Ahmedabad,298,13.41,0,2,2,Pune,807,17,195,9,Ahmedabad,87.52,54.64,49.52,328,15.77,1.79,False,True,False,False,False
5617,T-Shirt,2024-04-04,Ahmedabad,298,13.41,0,2,2,Delhi,356,12,42,1,Ahmedabad,87.52,54.64,49.52,328,15.77,1.79,False,True,False,False,False
7315,Jeans,2024-11-25,Chennai,336,59.54,1,2,1,Bangalore,493,11,69,11,Hyderabad,86.49,16.88,11.8,428,14.8,0.51,False,True,False,False,False
2902,T-Shirt,2024-11-13,Delhi,475,35.61,0,1,0,Hyderabad,792,14,192,12,Delhi,63.03,40.26,40.3,410,18.71,1.37,False,True,False,False,False
2902,T-Shirt,2024-11-13,Delhi,475,35.61,0,1,0,Hyderabad,792,14,192,12,Chennai,52.06,59.22,20.47,24,14.89,2.29,False,True,False,False,False
4497,Bookshelf,2024-10-25,Bangalore,388,33.53,0,1,1,Kolkata,971,0,113,10,Bangalore,39.5,99.39,0.35,389,13.19,2.01,False,False,True,False,False
4497,Bookshelf,2024-10-25,Bangalore,388,33.53,0,1,1,Chennai,732,12,176,1,Bangalore,39.5,99.39,0.35,389,13.19,2.01,False,False,True,False,False
3900,Laptop,2024-05-13,Mumbai,434,31.01,1,1,2,Delhi,145,3,145,6,Delhi,98.5,86.36,44.84,34,12.41,0.87,True,False,False,False,False
