,Product Name,Date,Online Store Location,Sales Quantity,Selling Price,Promotions,Demand Trend,Customer Segments,Warehouse Location,Stock Levels,Stockout Frequency,Reorder Point,Order Fulfillment Time (days),Retail Store Location,Market Price,Competitor Prices,Discounts,Return Rate (%),Category,Total Sales,Inventory Recommendation,Month
0,Refrigerator,2024-01-03,Mumbai,330,24.38,No,Increasing,Regular,Chennai,10,10,10,8,Bangalore,31.25,54.64,22.15,18.61,Home Appliances,8045.4,Maintain Stock,January
1,Mixer,2024-01-11,Kolkata,429,10.22,Yes,Decreasing,Premium,Kolkata,296,10,128,6,Mumbai,10.22,14.24,10.22,17.19,Home Appliances,4384.38,Maintain Stock,January
2,T-Shirt,2024-04-04,Ahmedabad,298,13.41,No,Stable,Regular,Pune,807,17,195,9,Ahmedabad,87.52,54.64,49.52,15.77,Fashion,3996.18,Maintain Stock,April
3,T-Shirt,2024-04-04,Ahmedabad,298,13.41,No,Stable,Regular,Delhi,356,12,42,1,Ahmedabad,87.52,54.64,49.52,15.77,Fashion,3996.18,Maintain Stock,April
4,Jeans,2024-11-25,Chennai,336,59.54,Yes,Stable,Premium,Bangalore,493,11,69,11,Hyderabad,86.49,16.88,11.8,14.8,Fashion,20005.44,Maintain Stock,November
5,T-Shirt,2024-11-13,Delhi,475,35.61,No,Increasing,Budget,Hyderabad,792,14,192,12,Delhi,63.03,40.26,40.3,18.71,Fashion,16914.75,Maintain Stock,November
6,T-Shirt,2024-11-13,Delhi,475,35.61,No,Increasing,Budget,Hyderabad,792,14,192,12,Chennai,52.06,59.22,20.47,14.89,Fashion,16914.75,Maintain Stock,November
7,Bookshelf,2024-10-25,Bangalore,388,33.53,No,Increasing,Premium,Kolkata,971,0,113,10,Bangalore,39.5,99.39,0.35,13.19,Furniture,13009.640000000001,Maintain Stock,October
8,Bookshelf,2024-10-25,Bangalore,388,33.53,No,Increasing,Premium,Chennai,732,12,176,1,Bangalore,39.5,99.39,0.35,13.19,Furniture,13009.640000000001,Maintain Stock,October
9,Laptop,2024-05-13,Mumbai,434,31.01,Yes,Increasing,Regular,Delhi,145,3,145,6,Delhi,98.5,86.36,44.84,12.41,Electronics,13458.34,Increase Stock,May
10,Laptop,2024-05-13,Mumbai,434,31.01,Yes,Increasing,Regular,Ahmedabad,211,6,153,2,Delhi,98.5,86.36,44.84,12.41,Electronics,13458.34,Maintain Stock,May
11,Fan,2024-04-01,Ahmedabad,29,27.17,Yes,Increasing,Budget,Pune,563,0,154,4,Bangalore,33.67,78.4,33.67,5.48,Home Appliances,787.9300000000001,Reduce Stock,April
12,Fan,2024-04-01,Ahmedabad,29,27.17,Yes,Increasing,Budget,Pune,563,0,154,4,Chennai,72.31,34.98,41.76,12.22,Home Appliances,787.9300000000001,Reduce Stock,April
13,Fan,2024-04-01,Ahmedabad,29,27.17,Yes,Increasing,Budget,Hyderabad,913,18,23,5,Bangalore,33.67,78.4,33.67,5.48,Home Appliances,787.9300000000001,Reduce Stock,April
14,Fan,2024-04-01,Ahmedabad,29,27.17,Yes,Increasing,Budget,Hyderabad,913,18,23,5,Chennai,72.31,34.98,41.76,12.22,Home Appliances,787.9300000000001,Reduce Stock,April
15,Fan,2024-04-01,Ahmedabad,29,27.17,Yes,Increasing,Budget,Pune,336,18,49,4,Bangalore,33.67,78.4,33.67,5.48,Home Appliances,787.9300000000001,Reduce Stock,April
16,Fan,2024-04-01,Ahmedabad,29,27.17,Yes,Increasing,Budget,Pune,336,18,49,4,Chennai,72.31,34.98,41.76,12.22,Home Appliances,787.9300000000001,Reduce Stock,April
17,Keyboard,2024-07-06,Pune,397,7.35,Yes,Stable,Budget,Ahmedabad,132,12,38,11,Chennai,7.35,60.1,7.35,11.19,Electronics,2917.95,Maintain Stock,July
18,Keyboard,2024-07-06,Pune,397,7.35,Yes,Stable,Budget,Hyderabad,338,11,57,9,Chennai,7.35,60.1,7.35,11.19,Electronics,2917.95,Maintain Stock,July
19,Monitor,2024-05-10,Kolkata,467,41.63,Yes,Increasing,Budget,Mumbai,442,19,40,14,Ahmedabad,41.63,83.93,38.09,15.58,Electronics,19441.210000000003,Maintain Stock,May
20,Monitor,2024-05-10,Kolkata,467,41.63,Yes,Increasing,Budget,Bangalore,893,16,56,12,Ahmedabad,41.63,83.93,38.09,15.58,Electronics,19441.210000000003,Maintain Stock,May
21,Sofa,2024-03-09,Hyderabad,322,36.76,No,Increasing,Premium,Ahmedabad,686,1,182,7,Bangalore,55.25,8.2,32.25,4.21,Furniture,11836.72,Maintain Stock,March
22,T-Shirt,2024-12-24,Kolkata,381,6.85,Yes,Stable,Budget,Ahmedabad,152,16,138,3,Bangalore,6.85,14.05,6.85,9.62,Fashion,2609.85,Maintain Stock,December
23,T-Shirt,2024-12-24,Kolkata,381,30.98,Yes,Stable,Budget,Ahmedabad,152,16,138,3,Hyderabad,30.98,50.09,22.22,11.88,Fashion,11803.380000000001,Maintain Stock,December
24,T-Shirt,2024-12-24,Kolkata,381,6.85,Yes,Stable,Budget,Bangalore,98,19,51,9,Bangalore,6.85,14.05,6.85,9.62,Fashion,2609.85,Maintain Stock,December
25,T-Shirt,2024-12-24,Kolkata,381,30.98,Yes,Stable,Budget,Bangalore,98,19,51,9,Hyderabad,30.98,50.09,22.22,11.88,Fashion,11803.380000000001,Maintain Stock,December
26,T-Shirt,2024-12-24,Kolkata,381,6.85,Yes,Stable,Budget,Ahmedabad,22,12,22,9,Bangalore,6.85,14.05,6.85,9.62,Fashion,2609.85,Increase Stock,December
27,T-Shirt,2024-12-24,Kolkata,381,30.98,Yes,Stable,Budget,Ahmedabad,22,12,22,9,Hyderabad,30.98,50.09,22.22,11.88,Fashion,11803.380000000001,Increase Stock,December
28,T-Shirt,2024-12-24,Kolkata,381,6.85,Yes,Stable,Budget,Hyderabad,331,0,35,14,Bangalore,6.85,14.05,6.85,9.62,Fashion,2609.85,Maintain Stock,December
29,T-Shirt,2024-12-24,Kolkata,381,30.98,Yes,Stable,Budget,Hyderabad,331,0,35,14,Hyderabad,30.98,50.09,22.22,11.88,Fashion,11803.380000000001,Maintain Stock,December
30,Monitor,2024-12-09,Kolkata,252,58.53,Yes,Increasing,Premium,Mumbai,307,5,28,9,Chennai,58.53,31.78,44.8,4.68,Electronics,14749.56,Maintain Stock,December
31,Monitor,2024-12-09,Kolkata,252,43.25,Yes,Increasing,Premium,Mumbai,307,5,28,9,Hyderabad,43.25,17.91,20.44,6.67,Electronics,10899.0,Maintain Stock,December
32,Desk,2024-11-29,Ahmedabad,140,11.61,Yes,Increasing,Regular,Hyderabad,649,2,15,13,Hyderabad,11.61,43.77,3.23,2.25,Furniture,1625.3999999999999,Maintain Stock,November
33,Rice,2024-05-18,Hyderabad,71,65.86,No,Decreasing,Budget,Hyderabad,99,6,99,8,Kolkata,65.86,72.01,2.67,12.72,Groceries,4676.06,Maintain Stock,May
34,Rice,2024-05-18,Hyderabad,71,12.0,No,Decreasing,Budget,Hyderabad,99,6,99,8,Bangalore,12.0,93.84,12.0,16.88,Groceries,852.0,Maintain Stock,May
35,Snacks,2024-08-23,Delhi,378,89.31,No,Stable,Regular,Chennai,686,11,152,8,Ahmedabad,89.31,21.96,22.27,4.66,Groceries,33759.18,Maintain Stock,August
36,Snacks,2024-08-23,Delhi,378,67.88,No,Stable,Regular,Chennai,686,11,152,8,Hyderabad,67.88,64.97,31.85,0.16,Groceries,25658.64,Maintain Stock,August
37,Fan,2024-01-22,Chennai,273,19.82,No,Stable,Regular,Hyderabad,546,17,143,5,Bangalore,52.51,68.98,4.18,2.05,Home Appliances,5410.86,Maintain Stock,January
38,Laptop,2024-07-31,Delhi,230,39.7,Yes,Stable,Premium,Mumbai,789,0,132,3,Ahmedabad,39.7,64.96,10.32,12.99,Electronics,9131.0,Maintain Stock,July
39,Mixer,2024-09-01,Pune,2,64.33,No,Stable,Regular,Ahmedabad,529,5,10,3,Chennai,64.33,96.93,38.76,6.12,Home Appliances,128.66,Reduce Stock,September
40,Mixer,2024-09-01,Pune,2,64.33,No,Stable,Regular,Kolkata,393,7,27,6,Chennai,64.33,96.93,38.76,6.12,Home Appliances,128.66,Reduce Stock,September
41,Sneakers,2024-03-17,Hyderabad,158,29.89,Yes,Decreasing,Premium,Ahmedabad,986,6,163,4,Bangalore,29.89,59.16,29.89,4.59,Fashion,4722.62,Maintain Stock,March
42,Sneakers,2024-03-17,Hyderabad,158,29.89,Yes,Decreasing,Premium,Hyderabad,488,10,56,1,Bangalore,29.89,59.16,29.89,4.59,Fashion,4722.62,Maintain Stock,March
43,Sneakers,2024-03-17,Hyderabad,158,29.89,Yes,Decreasing,Premium,Bangalore,195,1,150,14,Bangalore,29.89,59.16,29.89,4.59,Fashion,4722.62,Maintain Stock,March
44,Fan,2024-02-26,Hyderabad,215,40.61,No,Decreasing,Regular,Bangalore,680,11,14,6,Hyderabad,40.61,35.99,0.91,5.89,Home Appliances,8731.15,Maintain Stock,February
45,Milk,2024-08-27,Ahmedabad,455,7.55,Yes,Decreasing,Regular,Chennai,806,2,186,10,Chennai,67.32,90.84,32.21,10.52,Groceries,3435.25,Maintain Stock,August
46,Milk,2024-08-27,Ahmedabad,455,7.55,Yes,Decreasing,Regular,Chennai,806,2,186,10,Ahmedabad,71.11,78.16,20.0,9.26,Groceries,3435.25,Maintain Stock,August
47,Milk,2024-08-27,Ahmedabad,455,7.55,Yes,Decreasing,Regular,Chennai,806,2,186,10,Hyderabad,96.8,57.38,18.6,4.0,Groceries,3435.25,Maintain Stock,August
48,Hoodie,2024-06-14,Delhi,317,12.65,No,Increasing,Premium,Bangalore,905,2,88,2,Pune,89.01,98.97,44.05,3.07,Fashion,4010.05,Maintain Stock,June
49,Chair,2024-04-06,Hyderabad,234,6.04,No,Decreasing,Premium,Kolkata,309,3,51,2,Bangalore,54.35,83.96,23.77,4.73,Furniture,1413.36,Maintain Stock,April
50,T-Shirt,2024-02-02,Kolkata,84,37.49,Yes,Increasing,Premium,Bangalore,910,13,169,8,Kolkata,69.51,59.34,34.78,19.24,Fashion,3149.1600000000003,Reduce Stock,February
51,T-Shirt,2024-02-02,Kolkata,84,37.49,Yes,Increasing,Premium,Kolkata,79,0,79,12,Kolkata,69.51,59.34,34.78,19.24,Fashion,3149.1600000000003,Maintain Stock,February
52,Laptop,2024-03-23,Pune,369,11.71,No,Decreasing,Regular,Kolkata,318,0,125,2,Kolkata,41.05,48.32,9.67,19.52,Electronics,4320.990000000001,Maintain Stock,March
53,Washing Machine,2024-08-18,Mumbai,477,26.71,No,Decreasing,Premium,Ahmedabad,207,15,92,7,Bangalore,32.83,13.64,26.12,6.22,Home Appliances,12740.67,Maintain Stock,August
54,Washing Machine,2024-08-18,Mumbai,477,26.71,No,Decreasing,Premium,Ahmedabad,207,15,92,7,Bangalore,46.81,90.65,37.25,18.21,Home Appliances,12740.67,Maintain Stock,August
55,Washing Machine,2024-08-18,Mumbai,477,26.71,No,Decreasing,Premium,Kolkata,72,2,72,8,Bangalore,32.83,13.64,26.12,6.22,Home Appliances,12740.67,Increase Stock,August
56,Washing Machine,2024-08-18,Mumbai,477,26.71,No,Decreasing,Premium,Kolkata,72,2,72,8,Bangalore,46.81,90.65,37.25,18.21,Home Appliances,12740.67,Increase Stock,August
57,Snacks,2024-10-15,Kolkata,441,52.73,No,Decreasing,Regular,Kolkata,707,7,147,7,Chennai,52.73,23.76,32.82,2.16,Groceries,23253.93,Maintain Stock,October
